position,top1_acc,top3_acc,top5_acc,top7_acc,top9_acc
1,0.09863013698630137,0.29315068493150687,0.4876712328767123,0.6931506849315069,0.8821917808219178
2,0.0821917808219178,0.2821917808219178,0.4931506849315068,0.7013698630136986,0.9123287671232877
3,0.1178082191780822,0.31232876712328766,0.5013698630136987,0.6876712328767123,0.9068493150684932
4,0.0821917808219178,0.27123287671232876,0.4684931506849315,0.6821917808219178,0.8849315068493151
