position,bottom1_risk,bottom2_risk,bottom3_risk,bottom4_risk,bottom5_risk,bottom6_risk,bottom7_risk,bottom8_risk,bottom9_risk,bottom10_risk
1,0.1178082191780822,0.2273972602739726,0.30684931506849317,0.4191780821917808,0.5123287671232877,0.6027397260273972,0.7068493150684931,0.8136986301369863,0.9013698630136986,1.0
2,0.08767123287671233,0.20273972602739726,0.29863013698630136,0.3917808219178082,0.5068493150684932,0.5972602739726027,0.7178082191780822,0.8082191780821918,0.9178082191780822,1.0
3,0.09315068493150686,0.22465753424657534,0.31232876712328766,0.4054794520547945,0.4986301369863014,0.6136986301369863,0.6876712328767123,0.8054794520547945,0.8821917808219178,1.0
4,0.11506849315068493,0.20821917808219179,0.3178082191780822,0.41643835616438357,0.5315068493150685,0.6246575342465753,0.7287671232876712,0.8191780821917808,0.9178082191780822,1.0
